bill_number,title,primary_subject
H.RES.2,To inform the Senate that a quorum of the House has assembled and of the election of the Speaker and the Clerk.,Congress
H.CON.RES.1,Regarding consent to assemble outside the seat of government.,Congress
H.CON.RES.3,"Recognizing former United States Federal Judge Frank Minis Johnson, Jr., for his role in the civil rights movement.","Civil Rights and Liberties, Minority Issues"
H.CON.RES.2,To authorize the use of United States Armed Forces against the Islamic State of Iraq and the Levant and its associated forces.,International Affairs
H.RES.13,"Expressing the sense of the House of Representatives that the Transportation Security Administration should, in accordance with existing law, enhance security against terrorist attack and other security threats to our Nation's rail and mass transit systems and other modes of surface transportation; and for other purposes.",Emergency Management
H.RES.4,Authorizing the Clerk to inform the President of the election of the Speaker and the Clerk.,Congress
H.RES.18,"Expressing concern over the detainment of Sandy Phan-Gillis, and for other purposes.",International Affairs
H.RES.6,Electing Members to certain standing committees of the House of Representatives.,Congress
H.RES.3,Authorizing the Speaker to appoint a committee to notify the President of the assembly of the Congress.,Congress
H.RES.7,Electing Members to certain standing committees of the House of Representatives.,Congress
H.RES.17,"Expressing concern over the disappearance of Austin Tice, and for other purposes.",International Affairs
H.RES.1,Electing officers of the House of Representatives.,Congress
H.RES.19,Supporting the goals and ideals of Jubilee Day.,"Arts, Culture, Religion"
H.RES.15,Expressing the sense of the House of Representatives that the United States Postal Service should take all appropriate measures to ensure the continuation of its 6-day mail delivery service.,Government Operations and Politics
H.RES.20,Recognizing the importance of nonprofit organizations to the economy of the United States and expressing support for designation of September as "Nonprofit Organization (NPO) Recognition Month".,Social Welfare
H.RES.9,Fixing the daily hour of meeting of the First Session of the One Hundred Fifteenth Congress.,Congress
H.RES.5,Adopting rules for the One Hundred Fifteenth Congress.,Congress
H.RES.16,"Supporting local law enforcement agencies in their continued work to serve our communities, and supporting their use of body worn cameras to promote transparency to protect both citizens and officers alike.",Crime and Law Enforcement
H.RES.12,Expressing the sense of the House of Representatives regarding the enhancement of unity in America.,"Civil Rights and Liberties, Minority Issues"
H.R.80,"To suspend the admission into the United States of refugees in order to examine the costs of providing benefits to such individuals, and for other purposes.",Immigration
H.RES.21,"Expressing the sense of the House of Representatives regarding the firefight that occurred on March 4, 2007, between members of the United States Marine Corps and enemy forces in Bati Kot District, Nangarhar Province, Afghanistan.",Armed Forces and National Security
H.R.68,"To amend the Omnibus Crime Control and Safe Streets Act of 1968 to reauthorize the Juvenile Accountability Block Grant program, and for other purposes.",Crime and Law Enforcement
H.RES.8,Providing for the designation of certain minority employees.,Congress
