id,first_name,last_name,bill_number,sponsor_state,sponsor_party
M001165,Kevin,McCarthy,H.RES.2,CA,R
S000250,Pete,Sessions,H.CON.RES.1,TX,R
G000553,Al,Green,H.CON.RES.3,TX,D
C001053,Tom,Cole,H.CON.RES.2,OK,R
J000032,Sheila,Jackson Lee,H.RES.13,TX,D
C000714,John,Conyers,H.RES.4,MI,D
G000553,Al,Green,H.RES.18,TX,D
M001159,Cathy,McMorris Rodgers,H.RES.6,WA,R
M001165,Kevin,McCarthy,H.RES.3,CA,R
C001038,Joseph,Crowley,H.RES.7,NY,D
G000553,Al,Green,H.RES.17,TX,D
M001159,Cathy,McMorris Rodgers,H.RES.1,WA,R
H000324,Alcee,Hastings,H.RES.19,FL,D
G000546,Sam,Graves,H.RES.15,MO,R
H000324,Alcee,Hastings,H.RES.20,FL,D
S000250,Pete,Sessions,H.RES.9,TX,R
M001165,Kevin,McCarthy,H.RES.5,CA,R
G000553,Al,Green,H.RES.16,TX,D
J000032,Sheila,Jackson Lee,H.RES.12,TX,D
B001291,Brian,Babin,H.R.80,TX,R
J000255,Walter,Jones,H.RES.21,NC,R
J000032,Sheila,Jackson Lee,H.R.68,TX,D
C001038,Joseph,Crowley,H.RES.8,NY,D
C001096,Kevin,Cramer,H.RES.10,ND,R
J000032,Sheila,Jackson Lee,H.R.67,TX,D
B001291,Brian,Babin,H.R.81,TX,R
G000289,Robert,Goodlatte,H.J.RES.1,VA,R
G000289,Robert,Goodlatte,H.J.RES.2,VA,R
B001291,Brian,Babin,H.R.82,TX,R
C001098,Ted,Cruz,S.J.RES.2,TX,R
H001041,Dean,Heller,S.14,NV,R
D000621,Ron,DeSantis,H.J.RES.6,FL,R
B001283,Jim,Bridenstine,H.J.RES.4,OK,R
B001269,Lou,Barletta,H.R.83,PA,R
R000582,Phil,Roe,H.J.RES.3,TN,R
B001260,Vern,Buchanan,H.J.RES.5,FL,R
B001236,John,Boozman,S.J.RES.1,AR,R
S001197,Ben,Sasse,S.17,NE,R
P000603,Rand,Paul,S.16,KY,R
H001041,Dean,Heller,S.11,NV,R
W000802,Sheldon,Whitehouse,S.13,RI,D
T000250,John,Thune,S.19,SD,R
V000128,Chris,Van Hollen,S.20,MD,D
H001041,Dean,Heller,S.15,NV,R
M000355,Mitch,McConnell,S.RES.4,KY,R
M000934,Jerry,Moran,S.12,KS,R
E000285,Michael,Enzi,S.CON.RES.3,WY,R
M000934,Jerry,Moran,S.18,KS,R
M000355,Mitch,McConnell,S.CON.RES.1,KY,R
M000355,Mitch,McConnell,S.CON.RES.2,KY,R
M000355,Mitch,McConnell,S.RES.3,KY,R
M000934,Jerry,Moran,S.RES.5,KS,R
M000355,Mitch,McConnell,S.RES.2,KY,R
M000355,Mitch,McConnell,S.RES.1,KY,R
C001053,Tom,Cole,H.R.130,OK,R
B001285,Julia,Brownley,H.R.102,CA,D
